,Account,Compound Score,DateTime,Negativity Score,Neutral Score,Positivity Score,Text
0,bbcworld,-0.6705,Mon Apr 09 16:40:43 +0000 2018,0.391,0.609,0.0,Virunga National Park: DR Congo rangers killed https://t.co/JnG2dOMATU
1,bbcworld,0.0,Mon Apr 09 15:59:20 +0000 2018,0.0,1.0,0.0,RT @BBCJonSopel: .@realDonaldTrump at Cabinet meeting says decision on Syria will be taken in next 24-48 hours. “This is about humanity and…
2,bbcworld,0.0,Mon Apr 09 15:56:35 +0000 2018,0.0,1.0,0.0,Finger bone points to early human exodus https://t.co/qNPmWQHu2V
3,bbcworld,-0.6597,Mon Apr 09 15:37:59 +0000 2018,0.328,0.672,0.0,"Indian school bus plunges into gorge, 'killing 27 children' https://t.co/pX5Fab5PFH"
4,bbcworld,-0.9231,Mon Apr 09 15:17:57 +0000 2018,0.412,0.588,0.0,RT @BBCNorthAmerica: A community hockey rink became a place of mourning and grief after 15 were killed in an ice hockey team bus crash #Hum…
5,bbcworld,0.3612,Mon Apr 09 14:44:55 +0000 2018,0.0,0.894,0.106,"RT @BBCJonSopel: .@realDonaldTrump #Syria policy.
11 days ago: ""We’ll be coming out - like, very soon""
10 days ago: Suspends $200 million s…"
6,bbcworld,0.0,Mon Apr 09 14:44:39 +0000 2018,0.0,1.0,0.0,China's first emperor flattened after wind fall https://t.co/U6kxIx31OM
7,bbcworld,-0.5423,Mon Apr 09 14:21:00 +0000 2018,0.36,0.64,0.0,Trump Tower fire victim Todd Brassner 'hated' living there https://t.co/lIe9i1BJCm
8,bbcworld,0.0,Mon Apr 09 14:03:04 +0000 2018,0.0,1.0,0.0,Thor director Taika Waititi says New Zealand is 'racist' https://t.co/1p8mlHburY
9,bbcworld,-0.3182,Mon Apr 09 13:59:54 +0000 2018,0.247,0.753,0.0,The Simpsons addresses Apu racial stereotype controversy https://t.co/ysSrnXe9JV
10,bbcworld,0.0,Mon Apr 09 13:50:36 +0000 2018,0.0,1.0,0.0,Uber to buy electric bicycle-sharing firm Jump https://t.co/Bm4EtVsGHj
11,bbcworld,-0.1027,Mon Apr 09 13:41:51 +0000 2018,0.135,0.865,0.0,Viktor Orban victory in Hungary: German minister warns EU https://t.co/G7kFIxAIp2
12,bbcworld,-0.4215,Mon Apr 09 13:41:51 +0000 2018,0.286,0.714,0.0,Belgrade's 'tiny head' Gagarin statue causes dismay https://t.co/PGlZQSOYwk
13,bbcworld,0.5719,Mon Apr 09 13:28:27 +0000 2018,0.0,0.844,0.156,"RT @BBC_HaveYourSay: Are you getting married on the day of the #RoyalWedding on May 19? 

Maybe you are... 
celebrating a multicultural or…"
14,bbcworld,0.0,Mon Apr 09 13:27:30 +0000 2018,0.0,1.0,0.0,RT @BBC_HaveYourSay: Why race comments by New Zealand film director @TaikaWaititi have caused a stir in his native country. https://t.co/eh…
15,bbcworld,-0.92,Mon Apr 09 13:17:16 +0000 2018,0.435,0.565,0.0,"RT @BBCNews: Prime Minister @theresa_may says UK ""utterly condemns use of chemical weapons"" following Douma poison gas attack, and says Syr…"
16,bbcworld,0.0,Mon Apr 09 13:12:27 +0000 2018,0.0,1.0,0.0,https://t.co/A7xR7gZH5R sex advert website seized by FBI https://t.co/2bJMcwg6Cp
17,bbcworld,0.0,Mon Apr 09 12:59:45 +0000 2018,0.0,1.0,0.0,Nigeria's Buhari to run in 2019 elections https://t.co/Zr4y73roKZ
18,bbcworld,0.0,Mon Apr 09 11:47:52 +0000 2018,0.0,1.0,0.0,Japan's baseball star Shohei Ohtani draws Babe Ruth comparisons https://t.co/W1txv83vMT
19,bbcworld,-0.765,Mon Apr 09 11:41:38 +0000 2018,0.487,0.513,0.0,Syria conflict: Russia says no evidence of Douma chemical attack https://t.co/CVF51rQyYG
20,bbcworld,-0.34,Mon Apr 09 11:03:39 +0000 2018,0.255,0.745,0.0,Facebook: Cambridge Analytica warning sent to users https://t.co/HcIjYp8gtd
21,bbcworld,-0.5719,Mon Apr 09 10:59:25 +0000 2018,0.316,0.684,0.0,A Quiet Place: The horror movie shaming cinema snack-eaters https://t.co/rgzEX6qpxn
22,bbcworld,0.0,Mon Apr 09 10:34:36 +0000 2018,0.0,1.0,0.0,"Geoffrey Rush 'irreparably damaged', defamation case told https://t.co/L7uioPHmNv"
23,bbcworld,0.4019,Mon Apr 09 10:34:36 +0000 2018,0.0,0.748,0.252,Shipping industry faces calls to clean up emissions https://t.co/96e1THKqct
24,bbcworld,0.4404,Mon Apr 09 10:31:52 +0000 2018,0.0,0.707,0.293,Brazil ex-leader Lula's supporters camp outside jail https://t.co/YK4liF6n9A
25,bbcworld,0.4588,Mon Apr 09 10:28:51 +0000 2018,0.204,0.395,0.401,"Good Friday Agreement - at 20, is it broken? https://t.co/UpDMff9ezt"
26,bbcworld,0.0772,Mon Apr 09 09:46:35 +0000 2018,0.0,0.86,0.14,Uganda court hears challenge to presidential age-limit move https://t.co/OWPNeNTh4q
27,bbcworld,-0.128,Mon Apr 09 09:13:16 +0000 2018,0.248,0.55,0.202,Russia sanctions: Shares in Deripaska-controlled firms crash https://t.co/BBvcML9SJV
28,bbcworld,-0.5859,Mon Apr 09 09:02:20 +0000 2018,0.275,0.725,0.0,Bill Cosby sexual assault retrial set to begin in Pennsylvania https://t.co/kp2Pok5HX1
29,bbcworld,0.25,Mon Apr 09 09:02:20 +0000 2018,0.188,0.556,0.257,"Commonwealth Games: Laurel Hubbard injured, Emily Campbell wins bronze https://t.co/vsty8pL3Nu"
30,bbcworld,-0.5574,Mon Apr 09 08:56:38 +0000 2018,0.175,0.825,0.0,Service held to remember Humboldt Broncos junior hockey players and staff who died in  Friday bus crash… https://t.co/Yu9akX76J1
31,bbcworld,0.0,Mon Apr 09 08:39:57 +0000 2018,0.0,1.0,0.0,French police clash with eco-activists in woods near Nantes https://t.co/nxBelfnAVf
32,bbcworld,0.3182,Mon Apr 09 08:10:10 +0000 2018,0.0,0.685,0.315,Big increase in Antarctic snowfall https://t.co/HTLE4Zayg7
33,bbcworld,0.0,Mon Apr 09 07:39:50 +0000 2018,0.0,1.0,0.0,India engineless train rolls back for miles https://t.co/00DVdpWxb0
34,bbcworld,0.5719,Mon Apr 09 06:55:41 +0000 2018,0.0,0.519,0.481,Reed wins Masters title https://t.co/no7pT0fn01
35,bbcworld,-0.3182,Mon Apr 09 05:20:12 +0000 2018,0.187,0.813,0.0,Australia PM loses opinion poll he cited in ousting predecessor https://t.co/1CM5GaJsin
36,bbcworld,-0.8519,Mon Apr 09 03:07:31 +0000 2018,0.571,0.429,0.0,Canada crash: Humboldt Broncos bus dead mourned at vigil https://t.co/nSZfMe6vhW
37,bbcworld,0.0,Mon Apr 09 02:01:43 +0000 2018,0.0,1.0,0.0,"RT @BBCNewsAsia: Remembering tormented Hong Kong superstar Leslie Cheung, one of the first celebrities to come out as gay in Asia. 

He too…"
38,bbcworld,0.0,Mon Apr 09 01:56:22 +0000 2018,0.0,1.0,0.0,RT @BBCNewsAsia: Bhutan's 'Shangri-La' caught between two rival superpowers https://t.co/aavSSkG4vb
39,bbcworld,0.6249,Mon Apr 09 01:44:23 +0000 2018,0.0,0.819,0.181,"RT @BBCNewsAsia: North Korea promises the US it is ready to discuss the future of its nuclear arsenal when the two nations' leaders meet, U…"
40,bbcworld,-0.3612,Mon Apr 09 01:44:08 +0000 2018,0.333,0.667,0.0,Strikes hit Syrian airfield - reports https://t.co/MnsDSuJ5Y3
41,bbcworld,0.0,Mon Apr 09 01:35:39 +0000 2018,0.0,1.0,0.0,Facebook data: How it was used by Cambridge Analytica https://t.co/I0F3IlA8gp
42,bbcworld,-0.3182,Mon Apr 09 00:13:22 +0000 2018,0.173,0.827,0.0,Letter from Africa: The handshake that left millions of Kenyans confused https://t.co/XstQNQI1oX
43,bbcworld,0.0,Mon Apr 09 00:10:28 +0000 2018,0.0,1.0,0.0,Bhutan's 'Shangri-La' caught between two rival superpowers https://t.co/5mKhlMYCEt
44,bbcworld,0.0,Sun Apr 08 23:53:27 +0000 2018,0.0,1.0,0.0,Meet the Brit in charge of fixing NYC's subway https://t.co/jZFOaBDODG
45,bbcworld,-0.2173,Sun Apr 08 23:53:25 +0000 2018,0.251,0.545,0.204,"In the US, you don't have to kill to be a murderer https://t.co/2ySrD7gofq"
46,bbcworld,-0.5994,Sun Apr 08 23:50:47 +0000 2018,0.245,0.755,0.0,Leslie Cheung: Asia's gay icon lives on 15 years after his death https://t.co/LfvsM5OP9U
47,bbcworld,-0.2263,Sun Apr 08 23:33:31 +0000 2018,0.213,0.787,0.0,Meet the 'fearless' drag queens of Beirut https://t.co/8WZk4dkVg3
48,bbcworld,0.3612,Sun Apr 08 23:07:13 +0000 2018,0.0,0.737,0.263,N Korea-US talks: Pyongyang 'ready to discuss denuclearisation' https://t.co/4iYw1q8SBA
49,bbcworld,-0.4019,Sun Apr 08 22:27:32 +0000 2018,0.231,0.769,0.0,Deutsche Bank boss to step down amid continued losses https://t.co/xpcKwklhuq
50,bbcworld,-0.4019,Sun Apr 08 22:27:32 +0000 2018,0.31,0.69,0.0,Belgian cyclist dies after race crash https://t.co/Ly8m7R2jVM
51,bbcworld,0.5859,Sun Apr 08 21:03:12 +0000 2018,0.0,0.648,0.352,Hungary PM 'likely' to win another term https://t.co/Ti2zup9rfD
52,bbcworld,0.0,Sun Apr 08 16:42:02 +0000 2018,0.0,1.0,0.0,North Korea: Runners take part in Pyongyang's marathon https://t.co/ZbOJX6hzfF
53,bbcworld,0.0,Sun Apr 08 15:52:04 +0000 2018,0.0,1.0,0.0,RT @BBC_HaveYourSay: Are you coming to Windsor to watch the #RoyalWedding in May? Where are you travelling from? Would you consider yoursel…
54,bbcworld,-0.4767,Sun Apr 08 15:44:22 +0000 2018,0.279,0.721,0.0,Police foil Berlin half-marathon knife attack plan - reports https://t.co/HlPUHXQWvH
55,bbcworld,-0.8074,Sun Apr 08 13:38:00 +0000 2018,0.675,0.325,0.0,Trump condemns Syria suspected chemical attack https://t.co/ptGuQhRgrK
56,bbcworld,-0.886,Sun Apr 08 13:12:29 +0000 2018,0.634,0.366,0.0,Canada crash: Country mourns Humboldt Broncos bus dead https://t.co/UHD4IXh1O9
57,bbcworld,0.0,Sun Apr 08 12:03:00 +0000 2018,0.0,1.0,0.0,Brazil's former president @LulapeloBrasil turns himself in after two-day police stand-off https://t.co/Rqdn90c2DB
58,bbcworld,0.0,Sun Apr 08 11:44:54 +0000 2018,0.0,1.0,0.0,Pyongyang marathon: Fewer foreigners compete in North Korea's annual race https://t.co/r0G07sEmLF
59,bbcworld,0.6249,Sun Apr 08 11:44:53 +0000 2018,0.0,0.579,0.421,Prince Charles reunited with fan who stole a kiss https://t.co/5lXpE7FB4d
60,bbcworld,-0.4019,Sun Apr 08 10:16:29 +0000 2018,0.162,0.838,0.0,Man dies and several firefighters injured in blaze at Trump Tower in New York https://t.co/kP7W9EiFTr
61,bbcworld,-0.6486,Sun Apr 08 09:56:42 +0000 2018,0.346,0.654,0.0,Germany van attack: Police in Muenster say 'no clues' for a motive https://t.co/LXUGck3Eki
62,bbcworld,0.0,Sun Apr 08 09:24:07 +0000 2018,0.0,1.0,0.0,Lula turns himself in after police stand-off https://t.co/3TG5QOICp9
63,bbcworld,0.7506,Sun Apr 08 08:36:12 +0000 2018,0.0,0.549,0.451,Hungary election: Viktor Orban's Fidesz party hopes for third straight term https://t.co/YYmfO6su0N
64,bbcworld,-0.34,Sun Apr 08 06:36:55 +0000 2018,0.231,0.769,0.0,Trump Tower fire: 'You got to get out' https://t.co/kHEK4qzy8M
65,bbcworld,0.4019,Sun Apr 08 05:48:17 +0000 2018,0.0,0.748,0.252,India Down's syndrome pottery artist moulding his dreams https://t.co/aFxonJfYsL
66,bbcworld,0.1779,Sun Apr 08 03:40:10 +0000 2018,0.267,0.396,0.337,Egypt's problem with sexy cinema https://t.co/nRE1Mh1eJn
67,bbcworld,-0.4767,Sun Apr 08 03:04:01 +0000 2018,0.237,0.763,0.0,Japanese father arrested for caging son for over 20 years https://t.co/57YJX4pjWU
68,bbcworld,-0.6249,Sun Apr 08 01:18:36 +0000 2018,0.272,0.728,0.0,How the crisis in the Gulf could spread to East Africa https://t.co/zYOQ0Kt7My
69,bbcworld,-0.5994,Sun Apr 08 01:15:33 +0000 2018,0.38,0.62,0.0,"Obituary: Keith Murdoch, the disgraced All Black who disappeared https://t.co/cU1oGnWqJw"
70,bbcworld,-0.3612,Sun Apr 08 01:15:31 +0000 2018,0.263,0.737,0.0,How 'condom snorting' turned into a pro-gun argument https://t.co/YDWbQYVimM
71,bbcworld,0.0,Sun Apr 08 01:09:24 +0000 2018,0.0,1.0,0.0,Inside the White House Bible Study group https://t.co/EtmBkqzK60
72,bbcworld,0.5106,Sun Apr 08 01:04:19 +0000 2018,0.0,0.732,0.268,"'I paid $90,000 to free my family from IS' https://t.co/XKajz1q8zV"
73,bbcworld,-0.9062,Sun Apr 08 00:33:12 +0000 2018,0.531,0.469,0.0,"Syria war: Scores dead in Syria gas attack, rescuers and medics say https://t.co/oSdO2X8IAX"
74,bbcworld,0.0,Sat Apr 07 22:46:40 +0000 2018,0.0,1.0,0.0,Trump Tower fires: Blaze breaks out at New York property https://t.co/Wrev20IsB8
75,bbcworld,0.0,Sat Apr 07 22:04:19 +0000 2018,0.0,1.0,0.0,Brazil's Lula surrenders to police https://t.co/6T9D4d5cGk
76,bbcworld,-0.8658,Sat Apr 07 20:41:19 +0000 2018,0.548,0.452,0.0,Canada hockey team crash: 'Entire country in shock' at tragedy https://t.co/ely2UEKUu4
77,bbcworld,-0.34,Sat Apr 07 20:18:03 +0000 2018,0.255,0.745,0.0,Vatican police arrest ex-diplomat over 'child pornography' https://t.co/HHXmGkTDAz
78,bbcworld,-0.6597,Sat Apr 07 16:53:36 +0000 2018,0.386,0.614,0.0,Israel to investigate killing of Palestinian journalist https://t.co/8kudrlTVuS
79,bbcworld,0.0,Sat Apr 07 15:57:19 +0000 2018,0.0,1.0,0.0,Lula to surrender to police https://t.co/ksRE4gjgAA
80,bbcworld,0.0,Sat Apr 07 15:10:36 +0000 2018,0.0,1.0,0.0,Prince of Wales gets new chief title in ceremony on South Pacific island of Vanuatu https://t.co/z1jSGRh4Hm
81,bbcworld,-0.765,Sat Apr 07 15:07:25 +0000 2018,0.306,0.694,0.0,"RT @BBCBreaking: German Police say they believe there are several fatalities and around 30 people injured. 
https://t.co/Wgi0DBsyZS"
82,bbcworld,0.0,Sat Apr 07 14:50:14 +0000 2018,0.0,1.0,0.0,Van drives into pedestrians in Germany https://t.co/0xtrQps5IL
83,bbcworld,0.0,Sat Apr 07 14:46:08 +0000 2018,0.0,1.0,0.0,RT @BBCBreaking: Reports of casualties in Germany after van drives into pedestrians in city of Muenster https://t.co/OVOrbRHYEF
84,bbcworld,0.0,Sat Apr 07 14:41:20 +0000 2018,0.0,1.0,0.0,The migrant caravan from Central America travelling north https://t.co/gOwYZhuDUy
85,bbcworld,-0.7269,Sat Apr 07 13:58:36 +0000 2018,0.242,0.706,0.052,"RT @BBCSport: A young French footballer has died at just 18 years old.

Le Havre are in mourning over defender Samba Diop.
👉 https://t.co/Q…"
86,bbcworld,-0.0516,Sat Apr 07 12:12:02 +0000 2018,0.091,0.909,0.0,Facebook suspends AIQ data firm used by Vote Leave in Brexit campaign https://t.co/FchzO29YDp
87,bbcworld,0.0,Sat Apr 07 12:06:31 +0000 2018,0.0,1.0,0.0,Prince Charles gets new Chief title on Vanuatu https://t.co/tEMQkCyOwB
88,bbcworld,0.1027,Sat Apr 07 12:00:24 +0000 2018,0.0,0.851,0.149,Samba Diop: Le Havre defender dies aged 18 https://t.co/kCM7X5U7Fk
89,bbcworld,0.0,Sat Apr 07 12:00:24 +0000 2018,0.0,1.0,0.0,Grass skirt in Vanuatu for 'high chief' Prince Charles https://t.co/B9mEo6ShFQ
90,bbcworld,0.0,Sat Apr 07 11:45:19 +0000 2018,0.0,1.0,0.0,Mexico's president @EPN quotes JFK during national broadcast addressed to @realDonaldTrump https://t.co/8IbnhGiScP
91,bbcworld,0.0,Sat Apr 07 11:17:16 +0000 2018,0.0,1.0,0.0,Lula: Brazil ex-president's police stand-off https://t.co/Gro8VHwqUe
92,bbcworld,0.0,Sat Apr 07 10:39:16 +0000 2018,0.0,1.0,0.0,Mexico to Trump: Don't take your 'frustrations' out on us https://t.co/xFKKRqVkWE
93,bbcworld,0.6369,Sat Apr 07 10:30:23 +0000 2018,0.0,0.785,0.215,RT @BBCIndia: Huge crowds who braved scorching temperatures to gather outside the court started dancing and shouted slogans once they heard…
94,bbcworld,0.0,Sat Apr 07 10:13:02 +0000 2018,0.0,1.0,0.0,"Salman Khan, Bollywood superstar, bailed in poaching case https://t.co/nXoRkeloES"
95,bbcworld,0.0,Sat Apr 07 08:51:03 +0000 2018,0.0,1.0,0.0,Russell Crowe 'divorce auction': Memorabilia up for grabs in Sydney https://t.co/kWq0PCTeLP
96,bbcworld,0.0,Sat Apr 07 07:33:14 +0000 2018,0.0,1.0,0.0,Millions watch extreme eating Korean mukbang star https://t.co/wpyDBBAAHH
97,bbcworld,-0.7845,Sat Apr 07 06:11:02 +0000 2018,0.467,0.533,0.0,Canada crash: Fatalities as junior hockey team's bus and lorry collide https://t.co/maMBAttjt8
98,bbcworld,0.0,Sat Apr 07 04:35:38 +0000 2018,0.0,1.0,0.0,Trump immigration: Texas sends National Guard to Mexico border https://t.co/tPfoQHNmiC
99,bbcworld,0.5106,Sat Apr 07 03:57:43 +0000 2018,0.0,0.732,0.268,Vietnam rescue dog gives new owner slip in Paris https://t.co/STYop10ASH
100,cbs,0.2732,Mon Apr 09 15:00:00 +0000 2018,0.086,0.784,0.129,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu
101,cbs,0.6239,Mon Apr 09 13:36:00 +0000 2018,0.0,0.786,0.214,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb
102,cbs,0.6467,Mon Apr 09 01:42:06 +0000 2018,0.0,0.72,0.28,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq
103,cbs,0.7096,Sun Apr 08 22:00:01 +0000 2018,0.0,0.742,0.258,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN
104,cbs,0.5562,Sun Apr 08 18:38:13 +0000 2018,0.0,0.854,0.146,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ
105,cbs,0.4199,Sun Apr 08 15:00:00 +0000 2018,0.0,0.892,0.108,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme"
106,cbs,0.6696,Sat Apr 07 19:35:08 +0000 2018,0.0,0.817,0.183,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k
107,cbs,0.0,Sat Apr 07 18:28:03 +0000 2018,0.0,1.0,0.0,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H
108,cbs,0.3612,Sat Apr 07 16:30:02 +0000 2018,0.0,0.894,0.106,What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing… https://t.co/oEtKJnKQVn
109,cbs,0.0,Sat Apr 07 15:31:12 +0000 2018,0.0,1.0,0.0,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still… https://t.co/VF3hf8OCT7"
110,cbs,0.0,Fri Apr 06 21:10:18 +0000 2018,0.0,1.0,0.0,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she tak… https://t.co/DAa5gQS8oX
111,cbs,0.0,Fri Apr 06 17:00:00 +0000 2018,0.0,1.0,0.0,What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time?… https://t.co/N5qkMYCE7e
112,cbs,0.0,Fri Apr 06 13:45:00 +0000 2018,0.0,1.0,0.0,Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance… https://t.co/yVVDVFpxDM
113,cbs,0.5859,Thu Apr 05 21:44:00 +0000 2018,0.0,0.806,0.194,How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year… https://t.co/lfWAcvAbZa
114,cbs,0.6597,Thu Apr 05 19:07:48 +0000 2018,0.0,0.759,0.241,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh"
115,cbs,-0.3875,Thu Apr 05 17:00:00 +0000 2018,0.157,0.769,0.074,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton J… https://t.co/bqse7nhkV3"
116,cbs,0.807,Wed Apr 04 22:07:01 +0000 2018,0.0,0.687,0.313,Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dro… https://t.co/cilUdkKtjQ
117,cbs,0.7568,Wed Apr 04 21:48:07 +0000 2018,0.0,0.712,0.288,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! 😂

Introducing Laughing To Pieces! Foll…"
118,cbs,0.8495,Wed Apr 04 21:47:26 +0000 2018,0.0,0.634,0.366,"RT @YoungSheldon: Don't miss guest star @Followtheblonde in tomorrow's all-new #YoungSheldon! Trust us, you're going to love every minute.…"
119,cbs,0.4926,Wed Apr 04 21:46:13 +0000 2018,0.0,0.803,0.197,RT @MomCBS: Tomorrow's episode of #Mom is going to be a doggone good one! https://t.co/e1WI3uOxVg
120,cbs,-0.3182,Wed Apr 04 21:44:17 +0000 2018,0.095,0.905,0.0,RT @survivorcbs: There's a lot at stake when competing for actual steak. Get a glimpse at an all-new #Survivor: Ghost Island at 8/7c on CBS…
121,cbs,-0.25,Wed Apr 04 18:02:13 +0000 2018,0.133,0.867,0.0,RT @TVLine: #LifeInPieces Sneak Peek: Sophia and Her Stuffed Toys Stage a Musical Protest https://t.co/r16SLZlZPc
122,cbs,0.0,Tue Apr 03 23:00:00 +0000 2018,0.0,1.0,0.0,Whose catchy tune will take Song Of The Year at the 53rd #ACMawards? Give it up for the four nominees -… https://t.co/R9MtUNZtsw
123,cbs,0.0,Tue Apr 03 21:00:02 +0000 2018,0.0,1.0,0.0,"Here's everything you need to know before tuning into Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday,… https://t.co/C8fiKl4j98"
124,cbs,0.7096,Tue Apr 03 18:00:00 +0000 2018,0.0,0.742,0.258,"In just one week, @eltonofficial and today's hottest stars in music will join together to celebrate Elton's countle… https://t.co/ACQGHNWz8u"
125,cbs,0.7906,Tue Apr 03 05:17:01 +0000 2018,0.0,0.579,0.421,Tonight we #LightItUpBlue for greater understanding and acceptance. CBS supports #WorldAutismAwarenessDay by lighti… https://t.co/hBAXcDvP4r
126,cbs,0.1513,Mon Apr 02 17:30:00 +0000 2018,0.092,0.792,0.116,No one does it quite like @eltonofficial. The artist himself will belt out some of his chart-topping hits on Elton… https://t.co/ckY4bUvTXI
127,cbs,0.6486,Sun Apr 01 17:00:03 +0000 2018,0.0,0.798,0.202,The Las Vegas strip is about to light up brighter than ever before when Country Music’s Party Of The Year® takes ov… https://t.co/j1A2ZVHAoO
128,cbs,0.0,Sat Mar 31 18:00:00 +0000 2018,0.0,1.0,0.0,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a… https://t.co/EQabNc1UZI"
129,cbs,0.4199,Sat Mar 31 15:30:00 +0000 2018,0.0,0.887,0.113,Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to ta… https://t.co/wLyHwkEGs2
130,cbs,0.4926,Fri Mar 30 16:50:00 +0000 2018,0.0,0.873,0.127,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP
131,cbs,0.0,Thu Mar 29 17:32:40 +0000 2018,0.0,1.0,0.0,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv"
132,cbs,0.0,Thu Mar 29 17:30:02 +0000 2018,0.0,1.0,0.0,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R"
133,cbs,0.3818,Tue Mar 27 21:00:01 +0000 2018,0.108,0.68,0.212,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
134,cbs,0.296,Tue Mar 27 17:00:00 +0000 2018,0.0,0.901,0.099,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
135,cbs,0.508,Mon Mar 26 22:14:25 +0000 2018,0.0,0.88,0.12,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
136,cbs,0.0,Mon Mar 26 20:42:48 +0000 2018,0.0,1.0,0.0,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
137,cbs,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.0,0.786,0.214,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
